x y1 y2
441.000000 1.241095 1.239392
442.000000 1.229105 1.239688
443.000000 1.228003 1.238587
444.000000 1.227898 1.236726
445.000000 1.223601 1.234649
446.000000 1.223900 1.232265
447.000000 1.213902 1.229977
448.000000 1.211901 1.227022
449.000000 1.213654 1.223780
450.000000 1.215407 1.220855
451.000000 1.204094 1.218550
452.000000 1.207307 1.215748
453.000000 1.201894 1.213200
454.000000 1.206200 1.210535
455.000000 1.202096 1.208435
456.000000 1.202805 1.206466
457.000000 1.191299 1.204798
458.000000 1.191895 1.202394
459.000000 1.201201 1.199839
460.000000 1.217196 1.198280
461.000000 1.213003 1.198880
462.000000 1.204906 1.200246
463.000000 1.198495 1.201125
464.000000 1.202805 1.201029
465.000000 1.201894 1.200781
466.000000 1.207700 1.200411
467.000000 1.201100 1.200544
468.000000 1.195500 1.200356
469.000000 1.197404 1.199485
470.000000 1.201793 1.198486
471.000000 1.195400 1.197918
472.000000 1.197605 1.197074
473.000000 1.211196 1.196341
474.000000 1.206302 1.196970
475.000000 1.214300 1.197868
476.000000 1.207103 1.199533
477.000000 1.198897 1.200811
478.000000 1.202400 1.200987
479.000000 1.206753 1.200844
480.000000 1.195200 1.200956
481.000000 1.181307 1.200170
482.000000 1.179301 1.197695
483.000000 1.176803 1.194342
484.000000 1.177801 1.190624
485.000000 1.167556 1.187163
486.000000 1.173502 1.183273
487.000000 1.169194 1.180011
488.000000 1.173199 1.177023
489.000000 1.167706 1.174788
490.000000 1.174798 1.172687
491.000000 1.177607 1.171435
492.000000 1.173695 1.171002
493.000000 1.181405 1.170706
494.000000 1.180805 1.171157
495.000000 1.178106 1.171924
496.000000 1.172498 1.172548
497.000000 1.185003 1.172536
498.000000 1.176803 1.173248
499.000000 1.180498 1.173611
500.000000 1.174205 1.174053
501.000000 1.171893 1.173960
502.000000 1.178703 1.173371
503.000000 1.179802 1.173155
504.000000 1.171797 1.173280
505.000000 1.181307 1.172891
506.000000 1.181405 1.173060
507.000000 1.195600 1.173548
508.000000 1.194900 1.175405
509.000000 1.197404 1.177809
510.000000 1.196702 1.180502
511.000000 1.201403 1.183042
512.000000 1.200696 1.185678
513.000000 1.187493 1.188073
514.000000 1.183404 1.188938
515.000000 1.187296 1.188504
516.000000 1.187197 1.187760
517.000000 1.183796 1.186943
518.000000 1.185607 1.185877
519.000000 1.184806 1.184935
520.000000 1.185003 1.184085
521.000000 1.184105 1.183379
522.000000 1.181698 1.182735
523.000000 1.203297 1.181964
524.000000 1.211196 1.183098
525.000000 1.210698 1.185919
526.000000 1.215407 1.189373
527.000000 1.207496 1.193259
528.000000 1.206404 1.196299
529.000000 1.213902 1.198469
530.000000 1.204500 1.200650
531.000000 1.214300 1.201812
532.000000 1.211607 1.203200
533.000000 1.210844 1.204375
534.000000 1.210800 1.205259
535.000000 1.209102 1.205903
536.000000 1.213607 1.206208
537.000000 1.230406 1.206716
538.000000 1.226497 1.208859
539.000000 1.224500 1.211375
540.000000 1.221493 1.213654
541.000000 1.209395 1.215291
542.000000 1.208605 1.215287
543.000000 1.214845 1.214307
544.000000 1.206695 1.213488
545.000000 1.208401 1.212122
546.000000 1.202704 1.210739
547.000000 1.196301 1.208962
548.000000 1.199300 1.206548
549.000000 1.196501 1.204278
550.000000 1.199400 1.202057
551.000000 1.190703 1.200328
552.000000 1.191199 1.198244
553.000000 1.191597 1.196180
554.000000 1.188594 1.194350
555.000000 1.190703 1.192547
556.000000 1.194201 1.191102
557.000000 1.193403 1.190294
558.000000 1.191995 1.189838
559.000000 1.191597 1.189475
560.000000 1.192194 1.189145
561.000000 1.187804 1.188908
562.000000 1.185003 1.188350
563.000000 1.193004 1.187412
564.000000 1.191995 1.187056
565.000000 1.203905 1.186981
566.000000 1.204602 1.188126
567.000000 1.201605 1.189913
568.000000 1.189004 1.191608
569.000000 1.192705 1.191944
570.000000 1.190405 1.191807
571.000000 1.191100 1.191239
572.000000 1.196702 1.190562
573.000000 1.201894 1.190404
574.000000 1.207103 1.191026
575.000000 1.217493 1.192494
576.000000 1.219200 1.195232
577.000000 1.216293 1.198585
578.000000 1.210800 1.201687
579.000000 1.207904 1.203838
580.000000 1.197203 1.204992
581.000000 1.203500 1.204522
582.000000 1.201100 1.203788
583.000000 1.201100 1.202801
584.000000 1.203094 1.201787
585.000000 1.216797 1.201041
586.000000 1.211504 1.201770
587.000000 1.213902 1.202777
588.000000 1.226001 1.204037
589.000000 1.228803 1.206419
590.000000 1.221404 1.209479
